Antwerpen,Limburg,Oost_Vlaanderen,West_Vlaanderen,Vlaams_Brabant,Brussel,Nederland,Wallonie,Other
,,,,,,,7130,
,,,,,,,7131,
,,,,,,,7133,
,,,,,,,7134,
,,,,,,,7134,
,,,,,,,7134,
,,,,,,,7134,
,,,,,,,7140,
,,,,,,,7141,
,,,,,,,7141,
,,,,,,,7160,
,,,,,,,7160,
,,,,,,,7160,
,,,,,,,7170,
,,,,,,,7170,
,,,,,,,7170,
,,,,,,,7170,
,,,,,,,7170,
,,,,,,,7180,
,,,,,,,7181,
,,,,,,,7181,
,,,,,,,7181,
,,,,,,,7181,
,,,,,,,7190,
,,,,,,,7190,
,,,,,,,7191,
,,,,,,,7300,
,,,,,,,7301,
,,,,,,,7320,
,,,,,,,7321,
,,,,,,,7321,
,,,,,,,7322,
,,,,,,,7322,
,,,,,,,7330,
,,,,,,,7331,
,,,,,,,7332,
,,,,,,,7332,
,,,,,,,7333,
,,,,,,,7334,
,,,,,,,7334,
,,,,,,,7340,
,,,,,,,7340,
,,,,,,,7340,
,,,,,,,7340,
,,,,,,,7350,
,,,,,,,7350,
,,,,,,,7350,
,,,,,,,7350,
,,,,,,,7370,
,,,,,,,7370,
,,,,,,,7370,
,,,,,,,7370,
,,,,,,,7380,
,,,,,,,7380,
,,,,,,,7382,
,,,,,,,7387,
,,,,,,,7387,
,,,,,,,7387,
,,,,,,,7387,
,,,,,,,7387,
,,,,,,,7387,
,,,,,,,7387,
,,,,,,,7387,
,,,,,,,7387,
,,,,,,,7387,
,,,,,,,7390,
,,,,,,,7390,
,,,,,,,7500,
,,,,,,,7500,
,,,,,,,7500,
,,,,,,,7501,
,,,,,,,7502,
,,,,,,,7503,
,,,,,,,7504,
,,,,,,,7506,
,,,,,,,7520,
,,,,,,,7520,
,,,,,,,7521,
,,,,,,,7522,
,,,,,,,7522,
,,,,,,,7522,
,,,,,,,7522,
,,,,,,,7530,
,,,,,,,7531,
,,,,,,,7532,
,,,,,,,7533,
,,,,,,,7534,
,,,,,,,7534,
,,,,,,,7536,
,,,,,,,7538,
,,,,,,,7540,
,,,,,,,7540,
,,,,,,,7540,
,,,,,,,7540,
,,,,,,,7542,
,,,,,,,7543,
,,,,,,,7548,
,,,,,,,7600,
,,,,,,,7601,
,,,,,,,7602,
,,,,,,,7603,
,,,,,,,7604,
,,,,,,,7604,
,,,,,,,7604,
,,,,,,,7604,
,,,,,,,7604,
,,,,,,,7608,
,,,,,,,7610,
,,,,,,,7611,
,,,,,,,7618,
,,,,,,,7620,
,,,,,,,7620,
,,,,,,,7620,
,,,,,,,7620,
,,,,,,,7620,
,,,,,,,7621,
,,,,,,,7622,
,,,,,,,7623,
,,,,,,,7624,
,,,,,,,7640,
,,,,,,,7640,
,,,,,,,7640,
,,,,,,,7641,
,,,,,,,7642,
,,,,,,,7643,
,,,,,,,7700,
,,,,,,,7700,
,,,,,,,7711,
,,,,,,,7712,
,,,,,,,7730,
,,,,,,,7730,
,,,,,,,7730,
,,,,,,,7730,
,,,,,,,7730,
,,,,,,,7730,
,,,,,,,7730,
,,,,,,,7740,
,,,,,,,7740,
,,,,,,,7742,
,,,,,,,7743,
,,,,,,,7743,
,,,,,,,7750,
,,,,,,,7750,
,,,,,,,7750,
,,,,,,,7750,
,,,,,,,7760,
,,,,,,,7760,
,,,,,,,7760,
,,,,,,,7760,
,,,,,,,7760,
,,,,,,,7760,
,,,,,,,7780,
,,,,,,,7780,
,,,,,,,7781,
,,,,,,,7782,
,,,,,,,7783,
,,,,,,,7784,
,,,,,,,7784,
,,,,,,,7800,
,,,,,,,7800,
,,,,,,,7801,
,,,,,,,7802,
,,,,,,,7803,
,,,,,,,7804,
,,,,,,,7804,
,,,,,,,7810,
,,,,,,,7811,
,,,,,,,7812,
,,,,,,,7812,
,,,,,,,7812,
,,,,,,,7812,
,,,,,,,7812,
,,,,,,,7812,
,,,,,,,7822,
,,,,,,,7822,
,,,,,,,7822,
,,,,,,,7823,
,,,,,,,7830,
,,,,,,,7830,
,,,,,,,7830,
,,,,,,,7830,
,,,,,,,7830,
,,,,,,,7830,
,,,,,,,7830,
,,,,,,,7830,
,,,,,,,7850,
,,,,,,,7850,
,,,,,,,7850,
,,,,,,,7860,
,,,,,,,7861,
,,,,,,,7861,
,,,,,,,7862,
,,,,,,,7863,
,,,,,,,7864,
,,,,,,,7866,
,,,,,,,7866,
,,,,,,,7870,
,,,,,,,7870,
,,,,,,,7870,
,,,,,,,7870,
,,,,,,,7870,
,,,,,,,7880,
,,,,,,,7890,
,,,,,,,7890,
,,,,,,,7890,
,,,,,,,7900,
,,,,,,,7900,
,,,,,,,7901,
,,,,,,,7903,
,,,,,,,7903,
,,,,,,,7903,
,,,,,,,7904,
,,,,,,,7904,
,,,,,,,7904,
,,,,,,,7906,
,,,,,,,7910,
,,,,,,,7910,
,,,,,,,7910,
,,,,,,,7910,
,,,,,,,7910,
,,,,,,,7910,
,,,,,,,7910,
,,,,,,,7911,
,,,,,,,7911,
,,,,,,,7911,
,,,,,,,7911,
,,,,,,,7911,
,,,,,,,7911,
,,,,,,,7911,
,,,,,,,7912,
,,,,,,,7912,
,,,,,,,7940,
,,,,,,,7940,
,,,,,,,7941,
,,,,,,,7942,
,,,,,,,7943,
,,,,,,,7950,
,,,,,,,7950,
,,,,,,,7950,
,,,,,,,7950,
,,,,,,,7950,
,,,,,,,7951,
,,,,,,,7970,
,,,,,,,7971,
,,,,,,,7971,
,,,,,,,7971,
,,,,,,,7971,
,,,,,,,7972,
,,,,,,,7972,
,,,,,,,7972,
,,,,,,,7973,
,,,,,,,6600,
,,,,,,,6600,
,,,,,,,6600,
,,,,,,,6600,
,,,,,,,6600,
,,,,,,,6630,
,,,,,,,6637,
,,,,,,,6637,
,,,,,,,6637,
,,,,,,,6640,
,,,,,,,6640,
,,,,,,,6640,
,,,,,,,6640,
,,,,,,,6640,
,,,,,,,6640,
,,,,,,,6642,
,,,,,,,6660,
,,,,,,,6660,
,,,,,,,6661,
,,,,,,,6661,
,,,,,,,6662,
,,,,,,,6663,
,,,,,,,6666,
,,,,,,,6670,
,,,,,,,6670,
,,,,,,,6671,
,,,,,,,6672,
,,,,,,,6673,
,,,,,,,6674,
,,,,,,,6680,
,,,,,,,6680,
,,,,,,,6681,
,,,,,,,6686,
,,,,,,,6687,
,,,,,,,6688,
,,,,,,,6690,
,,,,,,,6690,
,,,,,,,6692,
,,,,,,,6698,
,,,,,,,6700,
,,,,,,,6700,
,,,,,,,6700,
,,,,,,,6700,
,,,,,,,6704,
,,,,,,,6706,
,,,,,,,6717,
,,,,,,,6717,
,,,,,,,6717,
,,,,,,,6717,
,,,,,,,6717,
,,,,,,,6720,
,,,,,,,6720,
,,,,,,,6721,
,,,,,,,6723,
,,,,,,,6724,
,,,,,,,6724,
,,,,,,,6730,
,,,,,,,6730,
,,,,,,,6730,
,,,,,,,6730,
,,,,,,,6740,
,,,,,,,6740,
,,,,,,,6740,
,,,,,,,6741,
,,,,,,,6742,
,,,,,,,6743,
,,,,,,,6747,
,,,,,,,6747,
,,,,,,,6747,
,,,,,,,6750,
,,,,,,,6750,
,,,,,,,6750,
,,,,,,,6760,
,,,,,,,6760,
,,,,,,,6760,
,,,,,,,6760,
,,,,,,,6761,
,,,,,,,6762,
,,,,,,,6767,
,,,,,,,6767,
,,,,,,,6767,
,,,,,,,6767,
,,,,,,,6769,
,,,,,,,6769,
,,,,,,,6769,
,,,,,,,6769,
,,,,,,,6769,
,,,,,,,6780,
,,,,,,,6780,
,,,,,,,6780,
,,,,,,,6781,
,,,,,,,6782,
,,,,,,,6790,
,,,,,,,6791,
,,,,,,,6792,
,,,,,,,6792,
,,,,,,,6800,
,,,,,,,6800,
,,,,,,,6800,
,,,,,,,6800,
,,,,,,,6800,
,,,,,,,6800,
,,,,,,,6800,
,,,,,,,6800,
,,,,,,,6810,
,,,,,,,6810,
,,,,,,,6810,
,,,,,,,6811,
,,,,,,,6812,
,,,,,,,6813,
,,,,,,,6820,
,,,,,,,6820,
,,,,,,,6820,
,,,,,,,6820,
,,,,,,,6821,
,,,,,,,6823,
,,,,,,,6824,
,,,,,,,6830,
,,,,,,,6830,
,,,,,,,6830,
,,,,,,,6830,
,,,,,,,6831,
,,,,,,,6832,
,,,,,,,6833,
,,,,,,,6833,
,,,,,,,6834,
,,,,,,,6836,
,,,,,,,6838,
,,,,,,,6840,
,,,,,,,6840,
,,,,,,,6840,
,,,,,,,6840,
,,,,,,,6840,
,,,,,,,6840,
,,,,,,,6850,
,,,,,,,6850,
,,,,,,,6850,
,,,,,,,6851,
,,,,,,,6852,
,,,,,,,6852,
,,,,,,,6853,
,,,,,,,6856,
,,,,,,,6860,
,,,,,,,6860,
,,,,,,,6860,
,,,,,,,6860,
,,,,,,,6860,
,,,,,,,6870,
,,,,,,,6870,
,,,,,,,6870,
,,,,,,,6870,
,,,,,,,6870,
,,,,,,,6870,
,,,,,,,6880,
,,,,,,,6880,
,,,,,,,6880,
,,,,,,,6880,
,,,,,,,6880,
,,,,,,,6887,
,,,,,,,6887,
,,,,,,,6887,
,,,,,,,6890,
,,,,,,,6890,
,,,,,,,6890,
,,,,,,,6890,
,,,,,,,6890,
,,,,,,,6890,
,,,,,,,6890,
,,,,,,,6900,
,,,,,,,6900,
,,,,,,,6900,
,,,,,,,6900,
,,,,,,,6900,
,,,,,,,6900,
,,,,,,,6900,
,,,,,,,6920,
,,,,,,,6920,
,,,,,,,6921,
,,,,,,,6922,
,,,,,,,6924,
,,,,,,,6927,
,,,,,,,6927,
,,,,,,,6927,
,,,,,,,6927,
,,,,,,,6929,
,,,,,,,6929,
,,,,,,,6929,
,,,,,,,6929,
,,,,,,,6940,
,,,,,,,6940,
,,,,,,,6940,
,,,,,,,6940,
,,,,,,,6940,
,,,,,,,6941,
,,,,,,,6941,
,,,,,,,6941,
,,,,,,,6941,
,,,,,,,6941,
,,,,,,,6941,
,,,,,,,6941,
,,,,,,,6950,
,,,,,,,6950,
,,,,,,,6951,
,,,,,,,6952,
,,,,,,,6953,
,,,,,,,6953,
,,,,,,,6953,
,,,,,,,6953,
,,,,,,,6960,
,,,,,,,6960,
,,,,,,,6960,
,,,,,,,6960,
,,,,,,,6960,
,,,,,,,6960,
,,,,,,,6970,
,,,,,,,6971,
,,,,,,,6972,
,,,,,,,6980,
,,,,,,,6980,
,,,,,,,6982,
,,,,,,,6983,
,,,,,,,6984,
,,,,,,,6986,
,,,,,,,6987,
,,,,,,,6987,
,,,,,,,6987,
,,,,,,,6987,
,,,,,,,6990,
,,,,,,,6990,
,,,,,,,6990,
,,,,,,,6990,
,,,,,,,6997,
,,,,,,,6997,
,,,,,,,6997,
,,,,,,,6997,
